Easting  , Northing , Cu100Depth, TestCount, MinCu , MaxCu , MinDepth, MaxDepth, PrimaryTestType, Latitude          , Longitude
447035.0 , 194082.0 ,  0.5      ,         5,  71.67, 140.0 ,     0.5 ,     4.3 , HandVane       , 51.64357831723184 , -1.3216621973470002
447089.25, 195048.31, 14.3      ,         2,  53.0 ,  85.0 ,     5.7 ,     9.3 , TriaxialTotal  , 51.65226152080381 , -1.3207484770927633
447127.66, 193911.62,  7.0      ,         1, 190.0 , 190.0 ,     7.0 ,     7.0 , TriaxialTotal  , 51.64203880317879 , -1.3203461528831637
447205.53, 195095.06, 21.9      ,         1,  75.0 ,  75.0 ,    16.9 ,    16.9 , TriaxialTotal  , 51.65267210243349 , -1.3190615277812914
447261.03, 194833.95, 25.2      ,         1, 240.0 , 240.0 ,    25.2 ,    25.2 , TriaxialTotal  , 51.650319922265375, -1.3182945622073343
447466.94, 195955.81, 11.5      ,         2,  77.0 ,  91.0 ,     3.0 ,     6.5 , TriaxialTotal  , 51.66038878561766 , -1.3151667143845034
447569.97, 195011.97, 16.1      ,         1, 110.0 , 110.0 ,    16.1 ,    16.1 , TriaxialTotal  , 51.65189439436652 , -1.3138054189840114
447825.84, 195186.8 , 12.0      ,         1, 139.0 , 139.0 ,    12.0 ,    12.0 , TriaxialTotal  , 51.65344454202527 , -1.3100833504772025
448118.16, 195368.75, 20.1      ,         3,  76.17, 240.33,    15.6 ,    20.1 , TriaxialTotal  , 51.65505551757321 , -1.3058333762677452
448623.5 , 195005.5 ,  3.0      ,         2, 100.0 , 280.0 ,     3.0 ,    10.9 , TriaxialTotal  , 51.651746315744596, -1.2985794406070308
448655.28, 195268.84, 13.83     ,         1, 199.5 , 199.5 ,    13.83,    13.83, TriaxialTotal  , 51.65411117842682 , -1.2980835457242093
448955.0 , 195164.0 , 21.7      ,         1,  75.83,  75.83,    16.7 ,    16.7 , TriaxialTotal  , 51.65314261478522 , -1.293766096658732
449276.56, 195309.34, 21.5      ,         1, 180.0 , 180.0 ,    21.5 ,    21.5 , TriaxialTotal  , 51.654421302601875, -1.2890979447124513
449357.0 , 194979.0 ,  5.5285716,         3,  95.0 , 180.0 ,     5.4 ,    14.35, TriaxialTotal  , 51.65144429539498 , -1.2879818260930362
449685.66, 194926.77, 16.3      ,         4,  50.0 ,  75.0 ,     4.5 ,    11.3 , TriaxialTotal  , 51.650945796996794, -1.283239167528762
449689.62, 194873.9 , 19.0      ,         1,  93.0 ,  93.0 ,    14.0 ,    14.0 , TriaxialTotal  , 51.65047021337606 , -1.283189301076103
